X1,X2,labels,IDs,Var5
3.074075987,-1.819832814,IR/VIP,476093220,
1.39522135,1.082166933,IR/VIP,476099282,
2.3534292,-1.14303514,SST/adap,476100382,
0.925344888,6.144347147,PV/FS,476104386,
-2.838476874,-2.625998093,spiny mouse,476129135,
-1.514771376,-1.257725902,spiny mouse,476131588,
-0.465330848,-3.890377374,spiny mouse,476135066,
0.323210036,-1.105521555,spiny mouse,476144118,
-0.681214237,-2.896255864,spiny mouse,476178907,
0.282464884,-2.41410381,spiny mouse,476198393,
2.747009515,-2.605079148,spiny mouse,476216637,
-1.060534569,-4.226989458,spiny mouse,476218657,
-0.370275887,-2.514003429,spiny mouse,476263004,
-0.208444154,-3.023239576,spiny mouse,476266853,
-0.132428002,-3.726652053,spiny mouse,476269122,
-2.506093432,-3.177683387,spiny mouse,476451456,
-1.524035782,-1.755452704,spiny mouse,476452460,
-0.950097535,-2.584730404,spiny mouse,476457450,
0.996786864,-2.523475918,spiny mouse,476525478,
0.315295993,-3.643518089,spiny mouse,476557750,
-1.200051881,-2.743195247,spiny mouse,476562817,
-1.335396764,-3.666266457,LS/Neurogliaform,476615310,
-2.255856346,-3.377158505,spiny mouse,476616076,
-2.172040157,-2.330468802,spiny mouse,476619123,
0.60102202,1.523334717,SST/adap,476686112,
3.149184442,-1.42705487,SST/adap,476741830,
1.00624238,2.251762721,SST/adap,476753465,
1.287352698,2.298715391,SST/adap,476754635,
0.658126595,-2.949082073,spiny mouse,476823462,
-0.520799364,-1.118517179,spiny mouse,477127614,
4.758195448,1.271946927,spiny mouse,477129850,
-1.624722977,-2.133239525,spiny mouse,477135941,
-4.232247771,-1.755967244,LS/Neurogliaform,477278032,
-0.51184135,6.799061863,PV/FS,477490421,
-2.364044324,-3.71370952,spiny mouse,477564985,
0.314699154,-3.269915811,LS/Neurogliaform,477879512,
3.622040027,2.310611612,SST/adap,477880128,
-4.09585724,-1.15415233,LS/Neurogliaform,477991293,
-0.602536406,5.973490453,PV/FS,478058328,
-3.92418285,-1.891059551,LS/Neurogliaform,478107198,
-0.085649463,1.141181472,IR/VIP,478110866,
-0.259019941,0.769805777,IR/VIP,478111731,
0.841666268,1.716696076,SST/adap,478396248,
1.188092902,2.496454261,SST/adap,478412623,
-0.786376235,-0.80273077,spiny mouse,478439166,
0.862566619,-2.186007513,spiny mouse,478447600,
-1.339708897,-1.621416318,spiny mouse,478498617,
-0.948871928,-2.591420713,spiny mouse,478499902,
-0.615473944,-2.904179023,spiny mouse,478500297,
1.040241877,-2.269099593,spiny mouse,478586295,
-0.996701951,-0.858175152,spiny mouse,478586425,
-2.430049622,-4.553393022,spiny mouse,478588073,
0.791296875,2.234192198,SST/adap,478716304,
1.068418443,5.7145087,PV/FS,478795872,
-1.609223765,-3.968087261,spiny mouse,478888052,
0.714597563,2.226076618,SST/adap,478888083,
1.550344828,6.92696842,PV/FS,478891084,
-1.085673405,-1.497384983,spiny mouse,478892782,
-0.218614565,5.652671371,PV/FS,478949560,
-0.613190573,5.580539936,PV/FS,478958894,
-2.580399436,-5.236677935,spiny mouse,479010903,
-1.556377421,-1.517587975,spiny mouse,479015224,
0.821837862,-3.500408147,spiny mouse,479091820,
0.734109509,0.901933781,SST/adap,479107488,
0.673269258,0.217668106,spiny mouse,479150681,
-1.677959954,-2.757627045,spiny mouse,479179020,
1.431096336,2.185211182,IR/VIP,479219923,
-4.063593194,-1.362482445,LS/Neurogliaform,479220013,
0.161236164,-2.002339143,spiny mouse,479225052,
-1.909611587,-2.277820531,spiny mouse,479225080,
1.154979943,6.001232296,PV/FS,479225274,
-0.649534498,-1.883852497,spiny mouse,479225294,
-2.633778143,-3.545764564,spiny mouse,479298821,
0.241901119,6.50552205,PV/FS,479298854,
-3.521977573,-0.903377196,spiny mouse,479303890,
-1.586590598,-1.711164974,spiny mouse,479492633,
-2.613110604,-2.737452516,spiny mouse,479492800,
-1.819512757,-4.589243278,spiny mouse,479508018,
-2.639255833,-5.269673784,spiny mouse,479704527,
-0.552479962,-3.710075358,spiny mouse,479711015,
-1.987361712,-4.822079402,spiny mouse,479721491,
-0.110562201,-1.776218827,spiny mouse,479722622,
-1.936220724,-2.457397138,spiny mouse,479728896,
2.823768431,-2.612672287,spiny mouse,479766169,
-1.315064957,-3.092112127,spiny mouse,479770916,
-2.427994759,-4.149735069,IR/VIP,479771670,
-0.623146237,6.853764493,PV/FS,479772774,
3.094786179,-1.378615647,IR/VIP,479897420,
2.708471225,-2.765507385,spiny mouse,479993900,
-0.465143187,-4.122390797,spiny mouse,480003970,
-0.630624548,-4.393078605,spiny mouse,480008325,
0.054068345,5.846904593,PV/FS,480011594,
-1.050386465,-2.570144208,spiny mouse,480090260,
0.502725386,-1.415387511,spiny mouse,480116737,
-1.791196239,-2.180178303,spiny mouse,480121089,
-2.322785025,-4.042219499,spiny mouse,480122859,
2.796990859,-2.507201969,spiny mouse,480124551,
