IDs,X1,X2,labels
570000000,-32.2728,30.27637,mouse
623000000,-34.985,28.47166,mouse
487000000,-34.8194,26.87308,mouse
477000000,-36.0815,28.99166,mouse
569000000,-36.4319,27.69473,mouse
579000000,-39.8368,27.13027,mouse
491000000,-36.0087,26.03467,mouse
325000000,-37.293,27.55414,mouse
583000000,-32.6705,29.96919,mouse
483000000,-38.5546,26.47861,mouse
593000000,-36.2078,28.02344,mouse
559000000,-38.3073,28.56053,mouse
593000000,-33.7056,26.75072,mouse
593000000,-31.2929,26.89537,mouse
490000000,-37.6916,27.13888,mouse
476000000,-35.1521,26.18254,mouse
609000000,-32.6981,29.62611,mouse
525000000,-35.553,28.77536,mouse
482000000,-32.0425,30.61315,mouse
490000000,-39.1418,28.03429,mouse
583000000,-35.5834,26.38894,mouse
581000000,-32.373,28.79587,mouse
516000000,-36.3992,26.57937,mouse
536000000,-40.5098,29.55884,mouse
555000000,-34.1276,27.95422,mouse
506000000,-37.9012,28.14177,mouse
467000000,-34.7702,28.90024,mouse
314000000,-31.6009,29.36597,mouse
572000000,-32.2625,29.58575,mouse
566000000,-40.5727,28.68253,mouse
580000000,-31.8117,30.20876,mouse
593000000,-31.1961,26.46192,mouse
561000000,-32.0086,29.84446,mouse
481000000,-31.7068,30.45169,mouse
557000000,-38.7401,27.57203,mouse
476000000,-39.1555,29.2576,mouse
559000000,-38.6067,28.43829,mouse
483000000,-31.7302,29.85536,mouse
468000000,-38.0428,28.90484,mouse
570000000,-32.4723,30.22839,mouse
314000000,-40.223,29.3617,mouse
470000000,-31.4843,29.47472,mouse
489000000,-37.7897,30.59896,mouse
322000000,-38.5911,26.52518,mouse
485000000,-31.5714,29.24304,mouse
370000000,-38.4079,27.46646,mouse
573000000,-37.6034,30.42656,mouse
606000000,-31.656,25.94481,mouse
505000000,-34.8691,28.73835,mouse
587000000,-36.7294,27.45295,mouse
562000000,-35.7115,28.48112,mouse
477000000,-31.1222,26.65156,mouse
501000000,-39.5975,27.85498,mouse
328000000,-36.0557,29.55353,mouse
464000000,-31.5654,29.91234,mouse
480000000,-35.2663,28.04147,mouse
480000000,-39.6642,28.93735,mouse
584000000,-36.2885,29.29661,mouse
570000000,-35.8274,26.1664,mouse
579000000,-31.7762,29.99935,mouse
568000000,-32.1098,30.69076,mouse
474000000,-35.8235,29.33744,mouse
324000000,-39.0121,27.10679,mouse
591000000,-35.1328,26.66826,mouse
594000000,-33.1147,30.19116,mouse
470000000,-38.2671,27.59418,mouse
505000000,-34.7653,27.83685,mouse
322000000,-35.966,28.30196,mouse
486000000,-36.6315,28.42032,mouse
524000000,-31.5004,26.60039,mouse
592000000,-34.3921,27.18284,mouse
553000000,-34.9407,25.96482,mouse
599000000,-40.2512,29.70418,mouse
567000000,-34.6987,28.90318,mouse
501000000,-35.2675,28.13211,mouse
480000000,-31.8099,26.31032,mouse
599000000,-39.3878,29.37502,mouse
350000000,-38.602,26.44265,mouse
505000000,-39.3794,28.0923,mouse
396000000,-32.3706,30.56367,mouse
570000000,-39.8602,28.62382,mouse
586000000,-35.8083,28.51465,mouse
464000000,-39.1013,29.87233,mouse
397000000,-31.985,28.97762,mouse
547000000,-35.3013,28.47107,mouse
