ID,specimen,struct,transline,reporterStatus,AIr,AItau,AIrheobase,pyramidalID,dendrite_type,cortical_layer,acquireRes,Resistence,resistance_hd,resistance_ss,Vrest,time_constant,time_constant2,subamp,submin,rebound_slope,rebound_depolarization,sag,steadystate,sag_ratio,Vrest_sag_sweep,nb_rebound_sp,rheobaseLP,rate_1sRheobase,rate_750msRheobase,rate_500msRheobase,rate_250msRheobase,rate_100msRheobase,rate_50msRheobase,delayRheobase,burstRheobase,latencyRheobase,cv_ISIRheobase,adaptation1Rheobase,adaptation2Rheobase,peak_adaptation1Rheobase,peak_adaptation2Rheobase,peakLP,thresholdLP,half_width_threshold_peak,half_width_peak_trough,height_threshold_peak,height_peak_trough,peak_up_stroke,peak_down_stroke,peak_stroke_ratio,trough,fastTrough,slowTrough,fAHPamp,wf,maxFiringRate,mdn_insta_freq,rate_1sHero,rate_750msHero,rate_500msHero,rate_250msHero,rate_100msHero,rate_50msHero,burst_hero,delay_hero,latency_hero,hero_amp,access_resistance,temperature,cellList
M08_JS_A1_C11,NHP,PFC,N/A,N/A,NaN,NaN,NaN,NaN,NaN,NaN,0.05,572.94,578.2098372,482.7557449,-63.62077852,37.44,201.49,-90,-124.46,0,1.6,10.06,-114.4,1.09,-60.83820211,0,170,1,1.333333333,2,4,10,20,NaN,NaN,3.95,NaN,NaN,NaN,NaN,NaN,5.33,-42.42,0.95,0.95,47.75,48.63,77.38,-51.98,-1.49,-43.3,2.2,2.2,NaN,0,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,
M08_JS_A1_C13,NHP,PFC,N/A,N/A,NaN,NaN,NaN,NaN,NaN,NaN,0.05,528.83,539.0059412,408.0407326,-70.31091087,19.9,164.13,-70,-109.53,0,3.97,8.94,-100.59,1.09,-68.81287428,0,30,2,2.666666667,4,8,20,40,1.28,NaN,27.75,0,NaN,NaN,0.93,NaN,2.5,-49.29,1.3,1.4,51.79,55.36,75.25,-40.06,-1.88,-52.86,4.95,4.95,NaN,0,2,NaN,1,1.333333333,2,4,10,20,NaN,NaN,16.25,50,0,0,
M08_JS_A1_C14,NHP,PFC,N/A,N/A,NaN,NaN,NaN,NaN,NaN,NaN,0.05,444.25,416.2073151,346.5446342,-73.67238088,25.45,107.5,-90,-115.11,0,0.09,7.01,-108.1,1.06,-74.6331834,0,70,42,44,44,44,40,40,0.75,21.43,17.7,0.1,0,1.33,0.84,0,16.48,-45.45,0.6,0.75,61.92,84.18,129.47,-114.69,-1.13,-67.7,1.6,1.6,22.25,0,108,84.74576271,71,72,72,72,70,80,12.725,0.746666667,10.4,110,0,0,
M08_MW_A1_C05,NHP,PFC,N/A,N/A,NaN,NaN,NaN,NaN,NaN,NaN,0.05,102.39,107.4598985,65.78249889,-69.53811797,13.09,51.52,-90,-78.95,0,3.36,4.19,-74.76,1.06,-68.87877345,0,150,1,1.333333333,2,4,10,0,NaN,NaN,70,NaN,NaN,NaN,NaN,NaN,40.04,-43.98,0.6,0.7,84.01,103,193.1,-146.85,-1.31,-62.96,1.55,19.5,NaN,0,1,NaN,1,1.333333333,2,4,10,20,NaN,NaN,44.05,170,0,0,
M08_MW_A1_C07,NHP,PFC,N/A,N/A,NaN,NaN,NaN,NaN,NaN,NaN,0.05,145.72,164.8640867,108.0946763,-76.58701762,8.63,119.23,-70,-86.3,0,2.2,4.15,-82.16,1.05,-74.84865084,0,130,1,1.333333333,2,4,10,0,NaN,NaN,53.55,NaN,NaN,NaN,NaN,NaN,23.07,-47.27,0.85,0.9,70.34,77.42,150.21,-85.55,-1.76,-54.35,1.95,51.1,NaN,0,11,NaN,11,12,12,16,20,20,64.1,0.31095861,29,170,0,0,
M08_SM_A1_C03,NHP,PFC,N/A,N/A,NaN,NaN,NaN,NaN,NaN,NaN,0.05,296.38,309.1285072,195.622572,-63.6072389,20.62,93.72,-90,-91.33,0,3.46,10.06,-81.27,1.12,-61.97853724,0,90,71,72,74,72,70,60,0.6,14.1,8.35,0.09,0,1.19,0.86,0,12,-46.4,0.55,0.65,58.4,71.75,124.09,-109.73,-1.13,-59.75,1.6,1.6,13.35,0,126,109.8901099,107,108,108,108,110,100,9.225,0.629681836,5.9,130,0,0,
M08_SM_A1_C07,NHP,PFC,N/A,N/A,NaN,NaN,NaN,NaN,NaN,NaN,0.05,91.23,146.0669812,140.2365949,-68.58793999,16.52,NaN,-90,-79.97,0,0.06,1.12,-78.86,1.01,-66.89960003,0,130,1,1.333333333,2,4,10,0,NaN,NaN,70.9,NaN,NaN,NaN,NaN,NaN,33.65,-38.18,0.95,1.15,71.83,90.09,137.98,-76.84,-1.8,-56.45,4.65,31.95,NaN,0,1,NaN,1,1.333333333,2,4,10,20,NaN,NaN,31.05,170,0,0,
M08_SM_A1_C09,NHP,PFC,N/A,N/A,NaN,NaN,NaN,NaN,NaN,NaN,0.05,103.09,142.1643375,105.1966151,-71.09357751,17.13,247.19,-90,-82.94,0,0.74,4.29,-78.65,1.05,-69.06425332,0,70,2,2.666666667,4,8,10,0,0.65,NaN,85.9,0,NaN,NaN,0.91,NaN,37.07,-42.24,0.8,0.9,79.31,93.7,169.64,-90.28,-1.88,-56.63,2.4,30.85,NaN,0,23,20.18163471,7,9.333333333,14,16,20,20,45.1,0.528608027,30.95,110,0,0,
M10_JS_A1_C02,NHP,PFC,N/A,N/A,NaN,NaN,NaN,NaN,NaN,NaN,0.05,348.85,328.9721219,292.1179223,-71.41977823,16.14,249.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,20,9,9.333333333,8,8,10,0,0.92,101.7,95.6,0.09,-0.01,0.9,0.9,0,22.67,-42.39,1,1.15,65.06,77.92,130.27,-66.2,-1.97,-55.25,3.2,3.2,NaN,0,40,NaN,40,40,38,36,40,40,19.9,0.671242701,16.8,60,0,0,
M10_JS_A1_C03,NHP,PFC,N/A,N/A,NaN,NaN,NaN,NaN,A,3,0.05,504.14,336.4840612,176.742428,-65.54494045,17.93,141.33,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,20,14,13.33333333,14,12,10,0,0.94,70.93,64.65,0.12,0,0.93,0.97,0,30.5,-45.23,0.65,0.75,75.73,90.81,157.31,-120.48,-1.31,-60.31,1.8,1.8,15.08,0,109,85.83690987,48,48,48,48,50,40,18.675,0.699297111,14.5,60,0,0,
M10_JS_A1_C05,NHP,PFC,N/A,N/A,NaN,NaN,NaN,NaN,NaN,NaN,0.05,214.36,225.2767234,193.7322692,-75.41075792,13.06,284.76,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,60,1,1.333333333,2,4,10,0,NaN,NaN,91.95,NaN,NaN,NaN,NaN,NaN,29.45,-42.62,1.1,1.2,72.07,84.29,142.4,-60.5,-2.35,-54.84,4.45,4.45,NaN,0,9,NaN,2,2.666666667,4,8,20,20,NaN,1,33.85,80,0,0,
M10_JS_A1_C07,NHP,PFC,N/A,N/A,NaN,NaN,NaN,NaN,NaN,NaN,0.05,181.13,188.6881601,146.6068125,-76.52859117,21.93,297.93,-110,-97.5,0,1.06,4.55,-92.94,1.05,-76.05281089,0,160,1,1.333333333,2,4,10,0,NaN,NaN,57.4,NaN,NaN,NaN,NaN,NaN,27.74,-40.5,1.15,1.35,68.25,82.52,134.21,-54.44,-2.47,-54.78,4.95,17.1,NaN,0,2,NaN,2,2.666666667,4,8,20,20,NaN,0.512820513,30,220,0,0,
