cellID,Species,Sex,Cortical area,Subject ID,Dendrite type,Cortical layer,AP halfwidth,AP amplitude,Resting potential,Rheobase,Resistance,Time Constant,Maximum firing rate,Median instantanous frequency,internalID
3991272,macaca fascicularis,NA,PFC,3167,NA,NA,1.05,72.57,-65.39,40,275.34,23.18,23,20.49,M10_JS_A1_C23
3366214,macaca fascicularis,NA,PFC,3167,NA,NA,1.15,73.67,-69.11,60,200.63,24.7,8,6.99,M10_JS_A1_C24
4483980,macaca fascicularis,NA,PFC,3167,NA,NA,0.55,52.73,-67.34,40,283.02,29.13,93,74.35,M10_JS_A1_C26
6819623,macaca fascicularis,NA,PFC,3167,NA,NA,1.15,65.83,-51.84,20,357.06,20.2,4,32,M10_JS_A1_C27
6569110,macaca fascicularis,NA,PFC,3167,S,4,1.15,59.78,-71.59,70,295.93,17.7,2,39.53,M10_JS_A1_C30
1678047,macaca fascicularis,NA,PFC,3167,S,5_6,1.35,82.02,-66.67,90,222.76,24.45,10,21.1,M10_MJ_A1_C03
1987789,macaca fascicularis,NA,PFC,3167,NA,NA,1.15,68.64,-72.98,10,416.29,18.63,61,58.48,M10_MJ_A1_C06
8137730,macaca fascicularis,NA,PFC,3167,S,3,0.9,61.47,-75.27,130,294.69,32.45,44,36.17,M10_SA_A1_C01
2933439,macaca fascicularis,NA,PFC,3167,A,5_6,0.35,55.8,-73.28,165,153.39,9.93,210,178.57,M10_SA_A1_C02
5361613,macaca fascicularis,NA,PFC,3167,NA,NA,0.9,68.08,-74.79,120,259.53,12.28,21,65.79,M10_SA_A1_C03
5414021,macaca fascicularis,NA,PFC,3167,S,5_6,1.3,87.08,-67.39,230,111.82,14.1,2,34.1,M10_SA_A1_C05
9975388,macaca fascicularis,NA,PFC,3167,A,5_6,0.4,63.22,-74.67,100,205.9,15.78,133,112.99,M10_SA_A1_C07
1623804,macaca fascicularis,NA,PFC,3167,A,5_6,0.4,44.92,-73.99,55,327.93,13.57,181,151.52,M10_SA_A1_C08
2169241,macaca fascicularis,NA,PFC,3167,S,3,1.15,68.49,-63.23,180,442,15.35,2,104.17,M10_SA_A1_C09
9037641,macaca fascicularis,NA,PFC,3167,NA,NA,1.05,90.5,-69.68,200,151.75,24.1,2,37.81,M10_SA_A1_C14
9372550,macaca fascicularis,NA,PFC,3167,NA,NA,1.1,63.54,-62.02,310,78.16,18.03,1,NaN,M10_SA_A1_C15
3874151,macaca fascicularis,NA,PFC,3167,NA,NA,1.25,92.16,-65.9,160,312.77,14.82,1,NaN,M10_SA_A1_C16
2069123,macaca mulatta,NA,LIP,7812,A,5_6,0.55,55.77,-66.92,130,254.87,9.9,177,169.49,M12_JS_A1_C01
1071052,macaca mulatta,NA,LIP,7812,S,3,1.3,76.43,-81.01,90,145.24,21.32,23,18.45,M12_JS_A1_C02
5492035,macaca mulatta,NA,LIP,7812,S,3,0.95,76.52,-76.45,210,140.98,13.83,1,NaN,M12_JS_A1_C05
4987836,macaca mulatta,NA,LIP,7812,S,3,0.85,79.45,-82.18,450,109.07,10.75,1,NaN,M12_JS_A1_C08
5462921,macaca mulatta,NA,LIP,7812,S,5_6,0.8,70.09,-73.77,260,258,12,2,112.99,M12_JS_A1_C10
4849880,macaca mulatta,NA,LIP,7812,A,5_6,0.6,61.96,-66.63,100,320.2,11.13,136,129.87,M12_JS_A1_C11
1122006,macaca mulatta,NA,LIP,7812,A,5_6,0.6,55.48,-68.58,100,211.72,21.8,139,149.25,M12_JS_A1_C12
7785150,macaca mulatta,NA,LIP,7812,S,5_6,1.05,80.27,-73.99,140,224.03,14.22,1,78.13,M12_JS_A1_C13
2020844,macaca mulatta,NA,LIP,7812,S,3,1.35,66.88,-66.3,20,268.35,36.92,34,45.25,M12_JS_A1_C14
5398600,macaca mulatta,NA,LIP,7812,NA,NA,0.8,75.71,-63.93,40,431,10.8,7,125,M12_SA_A1_C01
