cellID,Species,Sex,Cortical area,Subject ID,Dendrite type,Cortical layer,AP halfwidth,AP amplitude,Resting potential,Rheobase,Resistance,Time Constant,Maximum firing rate,Median instantanous frequency,internalID
9788035,Macaca fascicularis,NA,PFC,2029,NA,NA,0.35,46.51,-67.28,250,224.31,13.52,61,156.86,M08_JS_A1_C10
1623804,Macaca fascicularis,NA,PFC,3167,A,5_6,0.4,44.92,-73.99,55,327.93,13.57,181,151.52,M10_SA_A1_C08
1893218,Macaca mulatta,NA,PFC,1288,NA,NA,0.4,37.7,-63.81,270,245.59,13.73,1,NaN,M01_SM_A3_C09
9433398,Macaca fascicularis,NA,V1,7400,,,0.3,42.76,-78.19,190,165.41,13.77,87,75.47,M19_MM_A1_C07
2614677,Macaca mulatta,NA,PFC,6057,A,NA,0.35,69.98,-65.08,110,308.49,13.83,196,178.57,M02_SM_A6_C16
2064307,Macaca mulatta,NA,LIP,7812,S,3,0.95,76.52,-76.45,210,140.98,13.83,1,NaN,M12_JS_A1_C05
7642166,Callithrix jacchus,M,PFC,5627,,,0.62,72.11,-53.83,10,309.31,13.85,31,35.37,A09_MM_A1_C10
9093066,Macaca fascicularis,NA,PFC,2719,S,3,0.7,80.98,-75.3,130,145.68,13.85,1,NaN,M03_SM_A1_C05
9239003,Callithrix jacchus,M,PFC,3871,,,0.95,70.28,-70.28,30,213.85,13.9,47,40.28,A12_SA_A1_C01
3714844,Macaca mulatta,NA,LIP,7812,NA,NA,0.75,71.14,-77.09,330,232.11,14.02,1,NaN,M12_SA_A1_C07
2947362,Macaca fascicularis,NA,PFC,2029,A,4,0.55,59.24,-63.64,110,298.63,14.07,126,109.89,M08_SM_A1_C03
4007447,Macaca mulatta,NA,PFC,1288,NA,NA,0.6,35.49,-53.88,30,431.99,14.1,2,135.14,M01_JS_A2_C03
5414021,Macaca fascicularis,NA,PFC,3167,S,5_6,1.3,87.08,-67.39,230,111.82,14.1,2,34.1,M10_SA_A1_C05
4238448,Macaca mulatta,NA,PFC,6057,A,NA,1.5,89.87,-64.79,210,189.16,14.27,1,NaN,M02_MW_D4_C08
3166185,Macaca mulatta,NA,PFC,6057,NA,NA,0.45,45.78,-52,70,167.44,14.3,175,144.93,M02_JS_D2_C09
4765338,Macaca mulatta,NA,V1,8277,,,0.85,77.48,-70.94,90,247.76,14.3,2,163.93,M20_MM_A1_C04
4415715,Macaca mulatta,NA,PFC,6057,NA,NA,0.45,57.22,-63.89,70,354.69,14.32,217,208.33,M02_JS_D3_C08
7146744,Callithrix jacchus,F,V1,2795,,,0.84,90.18,-76.4,210,87.84,14.39,1,NaN,A11_MM_A1_C14
8996655,Callithrix jacchus,M,PFC,5627,,,0.4,50.78,-58.41,70,206.01,14.43,5,137.74,A09_MM_A1_C02
6644300,Callithrix jacchus,F,PFC,2048,,,0.76,64.03,-71.64,110,176.09,14.47,2,34.13,A13_MM_B2_C09
8046166,Macaca fascicularis,NA,PFC,2719,S,NA,0.7,81.06,-63.53,90,326.67,14.48,1,NaN,M03_SM_A1_C15
5675998,Macaca fascicularis,NA,PFC,2029,S,3,0.8,78.33,-71.05,70,134.43,14.5,23,20.18,M08_SM_A1_C09
4065486,Macaca fascicularis,NA,PFC,6893,NA,NA,0.9,74.4,-75.33,50,356.48,14.68,40,32.41,M05_JS_A1_C03
1584520,Macaca fascicularis,NA,PFC,2029,S,5_6,1.1,65.31,-55.99,90,200.37,14.68,3,23.87,M08_SM_A1_C04
7839811,Macaca fascicularis,NA,V1,7400,,,0.85,75.44,-78.67,70,350.7,14.77,2,111.11,M19_MM_A1_C11
3892931,Macaca fascicularis,NA,PFC,6893,S,2,0.9,79.77,-68.11,370,54.88,14.8,1,NaN,M05_SM_A1_C13
9498134,Macaca fascicularis,NA,PFC,2029,S,5_6,0.85,81.48,-72.92,30,300.65,14.82,56,47.39,M08_MW_A1_C03
3874151,Macaca fascicularis,NA,PFC,3167,NA,NA,1.25,92.16,-65.9,160,312.77,14.82,1,NaN,M10_SA_A1_C16
6119309,Callithrix jacchus,M,PFC,3871,,,0.32,86.58,-71.92,30,324.44,14.86,42,44.05,A12_SA_A1_C02
3248905,Callithrix jacchus,M,PFC,3871,,,0.58,55.36,-54.24,50,340.85,14.88,36,69.69,A12_JS_B1_C07
4839096,Callithrix jacchus,M,PFC,3871,,,0.86,92.1,-76.86,190,86.48,14.89,15,17.12,A12_MM_A3_C05
1860444,Macaca mulatta,NA,PFC,1288,NA,NA,1,61.27,-73.52,50,380.71,14.97,44,41.24,M01_JS_A4_C11
8205287,Macaca fascicularis,NA,V1,7400,,,1.15,57.16,-76.31,50,371.36,15.02,6,65.79,M19_JS_A1_C05
5350840,Callithrix jacchus,F,PFC,2048,,,0.78,80.17,-67.26,70,144.77,15.11,1,NaN,A13_MM_A2_C03
2456147,Macaca fascicularis,NA,PFC,6893,NA,NA,1.05,79.74,-71.59,210,395.52,15.12,43,55.71,M05_JS_A1_C05
4993744,Macaca mulatta,NA,V1,8277,,,0.65,74.52,-73.38,110,218.03,15.25,7,37.59,M20_MM_A1_C07
2883559,Macaca fascicularis,NA,IC,2029,NA,NA,0.95,70.77,-68.65,130,132.53,15.32,1,NaN,M08_SM_A1_C07
5517321,Callithrix jacchus,F,V1,2795,,,1.1,89.66,-75.62,170,111.62,15.34,1,NaN,A11_MM_A1_C11
7138747,Macaca fascicularis,NA,V1,7400,,,0.6,58.59,-64.38,70,309.09,15.35,86,71.3,M19_MM_A1_C06
2220270,Callithrix jacchus,M,PFC,5627,,,0.74,85.48,-69.52,70,134.04,15.42,2,206.19,A09_MM_A1_C09
4838316,Macaca fascicularis,NA,V1,7400,,,0.65,76.08,-74.84,90,422.09,15.43,5,127.8,M19_JS_A1_C14
9801830,Macaca fascicularis,NA,PFC,8251,NA,NA,0.9,64.48,-51.52,10,885,15.5,42,285.71,M06_SM_A1_C09
6538279,Callithrix jacchus,F,V1,2795,,,0.96,81.94,-75.85,110,131.89,15.55,2,35.97,A11_MM_A1_C04
4849720,Macaca fascicularis,NA,PFC,2719,S,3,1.2,100.41,-72.55,70,204.64,15.58,18,14.04,M03_MW_A1_C11
1218334,Macaca fascicularis,NA,PFC,2719,A,3,0.45,55.44,-57.11,150,301.97,15.58,112,107.53,M03_SM_A1_C04
6867830,Macaca fascicularis,NA,PFC,2719,A,3,0.65,72.8,-72.64,90,144.45,15.65,2,19.56,M03_SM_A1_C02
7491511,Macaca fascicularis,NA,V1,7400,,,1.05,71.56,-74.19,50,390.83,15.75,12,38.54,M19_SA_A1_C03
9791993,Macaca mulatta,NA,V1,8277,,,1.1,55.42,-73.52,70,347.85,15.77,2,75.47,M20_MM_A1_C05
9975388,Macaca fascicularis,NA,PFC,3167,A,5_6,0.4,63.22,-74.67,100,205.9,15.78,133,112.99,M10_SA_A1_C07
2333742,Macaca fascicularis,NA,PFC,2719,S,NA,0.7,87.48,-77.3,110,144.27,15.8,1,NaN,M03_SM_A1_C14
3784873,Macaca fascicularis,NA,PFC,6893,A,3,0.5,62.13,-56.05,130,292.23,15.97,142,135.14,M05_SM_A1_C03
1927497,Macaca mulatta,NA,V1,8277,,,0.35,62.38,-63.71,50,387.86,15.97,205,172.41,M20_JS_A1_C03
8606409,Macaca mulatta,NA,PFC,6057,A,NA,0.95,66.04,-62.02,130,881.68,16.22,13,40.08,M02_SM_A6_C15
8583490,Callithrix jacchus,F,PFC,2048,,,0.84,77.51,-71.92,150,142.05,16.23,3,43.27,A13_MM_B4_C11
6013473,Macaca mulatta,NA,PFC,6057,NA,NA,1.05,74.62,-72.59,30,199.81,16.47,34,27.51,M02_JS_D4_C06
4270012,Macaca fascicularis,NA,PFC,2719,S,4,1.45,72.48,-62.47,50,240.89,16.48,25,20.96,M03_MW_A1_C06
8325627,Macaca fascicularis,NA,PFC,3167,NA,NA,1.2,84.99,-72.48,70,228.73,16.48,4,26.85,M10_JS_A1_C11
4048863,Macaca mulatta,NA,PFC,1288,NA,NA,0.4,47.92,-63.26,170,316.97,16.5,3,136.99,M01_CN_A5_C15
4717635,Macaca mulatta,NA,PFC,1288,NA,NA,0.4,47.92,-63.26,170,316.97,16.5,3,136.99,M01_SM_A1_C02
9740115,Callithrix jacchus,F,PFC,2048,,,0.74,91.06,-74.52,70,191.79,16.53,19,21.03,A13_MM_B3_C10
1644318,Macaca fascicularis,NA,PFC,6893,A,3,0.9,71.59,-63.92,250,310.19,16.62,37,58.65,M05_JS_A1_C11
9229701,Macaca mulatta,NA,PFC,6057,S,NA,1,81.39,-66.25,30,271.43,16.75,51,40.32,M02_MW_D3_C06
9152516,Macaca fascicularis,NA,PFC,6893,NA,NA,0.55,38.67,-64.94,110,324.97,16.8,100,125,M05_MW_A1_C04
1959201,Callithrix jacchus,F,PFC,2048,,,0.8,73.61,-70,170,142.96,16.81,2,65.19,A13_MM_A4_C05
2688707,Macaca fascicularis,NA,V1,7400,,,0.95,60.76,-80.31,50,384.2,16.82,4,15.38,M19_SA_A1_C06
7542404,Macaca fascicularis,NA,PFC,2719,A,2,0.85,85.36,-62.93,70,342.14,16.83,23,20.08,M03_MW_A1_C08
6703581,Macaca fascicularis,NA,PFC,3167,A,5_6,0.7,75.99,-64.56,20,412.07,16.87,109,85.84,M10_JS_A1_C03
5984515,Macaca mulatta,NA,PFC,6057,S,NA,1,81.27,-64.64,30,194.84,16.9,41,34.84,M02_MW_D6_C12
2365626,Macaca fascicularis,NA,PFC,1680,NA,NA,0.95,82.75,-65.05,70,261.95,17.15,23,20.16,M04_MW_A1_C08
2868180,Macaca fascicularis,NA,PFC,8251,A,2,0.7,69.24,-64.27,30,435.3,17.2,12,9.48,M06_MW_A1_C04
