ID,Resistence,time_constant,streng_rectif,rebound_slope,nb_rebound_sp,sag,sag_ratio,rheobaseLP,burst,delay,latencyLP,meanISI,cv_ISI,adaptation1,adaptation2,peak_adaptation1,peak_adaptation2,peakLP,thresholdLP,half_width,height,fastTrough,slowTrough,nb_persistent,dur_persistence,firing_rate_2xRB,cvISIlast_2xRB,rheobase_3ms,latency,threshold,threshold2,peak,height_threshold_peak,height_peak_trough,peak_up_stroke,peak_down_stroke,peak_stroke_ratio,halfWidthTP,halfWidthPT,peakDown,trough,preview,link,Morphology
M02_JS_D6_C02,373.8403404,21.96666667,11.01257349,-0.00247577,0,11.01257349,1.117385675,90,14.5,0.661999791,9.9,14.9546875,0.061340316,0.000253031,1.032258065,1.017814155,0.000177691,24.90234431,-38.48266688,0.35,63.38501118,1.15,1.15,0,0,126,0.024261975,150,3.5,-47.21069441,-47.21069441,22.76611379,69.9768082,95.03174041,360.1074299,-230.1025442,-1.564986737,0.35,0.45,-230.1025442,-72.26562662,,,
M02_MW_D3_C06,293.5791081,21.94166667,5.308227658,-0.000613133,0,5.308227658,1.055695376,30,184.625,0.399630178,90.05,225.3333333,0.334710892,0.164521884,1.943300602,0.963254593,-0.008097092,41.93115328,-39.4592294,0.95,81.39038268,2.7,26,0,0,17,0.163875157,340,3.55,-41.9006357,-41.9006357,37.84179772,79.74243342,102.5390648,209.9609422,-92.77343957,-2.263157895,0.85,1.05,-92.77343957,-64.69726707,,,
M02_MW_D4_C09,281.3720766,14.71666667,8.736572461,-0.004098941,0,8.736572461,1.100670952,50,,0.656870532,41.35,62.95,0,,,0.94481383,,10.25390648,-35.64453205,0.35,45.89843853,0.9,0.9,0,0,62,0.077724151,250,3.55,-43.09082128,-43.09082128,10.2233889,53.31421018,80.352785,206.9091843,-210.5712938,-0.982608696,0.4,0.5,-210.5712938,-70.1293961,,,
M02_MW_D6_C12,205.0781296,22.075,8.200073425,-0.001289849,0,8.200073425,1.101346509,30,352.6,0.457033466,161.15,352.6,0.192318606,,,1.006713913,,46.87500105,-34.94262773,1,81.81762878,2.95,2.95,0,0,14,0.124278273,530,3.6,-32.71484448,-32.71484448,41.9006357,74.61548018,103.4851097,203.8574264,-93.38379115,-2.183006536,0.85,1.05,-93.38379115,-61.58447403,,,
M02_MW_D6_C13,402.2216887,32.35833333,12.88757353,-0.000344163,0,12.88757353,1.12899777,30,339.875,0.433247517,147.25,339.875,0.352123053,,,1.01178361,,23.620606,-33.35571364,1.4,56.97631963,4.85,22.25,1,0.85,3,0.151306729,,0,,,,,,,,,,,,,,,
M02_SM_A1_C03,345.7641679,14.10833333,10.56884789,-0.004334772,1,10.56884789,1.100130686,10,30.625,0.530180727,61.85,116.6583333,1.316720094,0.033365201,1.321005917,0.903058824,-0.008334539,10.49804711,-54.35180786,0.4,64.84985497,1.5,1.5,0,0,11,1.235975396,130,24.95,-52.67334102,-52.67334102,8.209228699,60.88256972,75.98877123,317.9931712,-194.0918012,-1.63836478,0.4,0.4,-194.0918012,-67.77954253,,,
M02_SM_A2_C04,234.680181,18.70833333,3.2141114,-0.000206656,0,3.2141114,1.032998296,130,,,34.5,,,,,,,34.54589921,-34.51538163,0.7,69.06128084,2.4,56.15,0,0,27,1.030066379,570,3.4,-40.4663095,-40.4663095,35.73608478,76.20239428,98.66333228,274.6582093,-99.48730691,-2.760736196,0.75,0.9,-99.48730691,-62.9272475,,,
M02_SM_A4_C07,215.1489306,11.84166667,11.04492212,-0.003419206,0,11.04492212,1.137817584,110,,,14.85,,,,,,,14.00756867,-38.75732509,0.4,52.76489376,1.15,1.15,0,0,131,0.070868285,250,3.35,-45.25756937,-45.25756937,15.28930698,60.54687635,80.59692563,305.7861396,-193.4814496,-1.58044164,0.4,0.5,-193.4814496,-65.30761865,,,
M02_SM_A4_C08,416.2597749,22.15833333,4.525756937,0.000189938,0,4.525756937,1.038632871,30,93.575,0.149627704,31.65,211.525,0.962318871,0.114676868,2.165307635,0.971914894,-0.000142405,29.84619207,-41.87011812,0.8,71.7163102,2.15,16.55,0,0,28,0.201767906,310,3.4,-45.83740337,-45.83740337,26.6418463,72.47924967,99.97558817,291.7480534,-106.2011742,-2.747126437,0.8,1,-106.2011742,-73.33374187,,,
M02_SM_A5_C10,273.4375061,15.15833333,12.10388211,-0.002393154,0,12.10388211,1.13214588,150,,,10.25,,,,,,,15.22827182,-35.98022541,0.3,51.20849724,0.9,0.9,0,0,,,200,1.95,-45.47119242,-45.47119242,17.79174844,63.26294087,82.51953309,394.8974698,-261.8408262,-1.508158508,0.3,0.4,-261.8408262,-64.72778465,,,
